CODDAT,DATACENTER,Country   Datacenter,VM_ID_TM,SMBIOS UUID,Object State,Previous Months Updates,CUSTOMER_ID_SCCD-TM,CUSTOMER_Name_SCCD-TM,Country of Customer,REGION,CATEGORY,VM,VCENTER,Customer Name,Customer CID_RvTools,CUSTOMER_UNSYNC_vCenter Attribute,CID,Folder,Product,SOLUTION,TYPE,LIFECYCLE,NEW VM X UUID,VM Powerstate,# Days Powered Off,Is Template?,DNS Name,CPUs,Memory,NICs,Disks,Total disk capacity MiB,Primary IP Address,Network #1,Network #2,Network #3,Network #4,Network #5,Network #6,Network #7,Network #8,Provisioned MiB,In Use MiB,OS according to the configuration file,OS according to the VMware Tools,OS TYPE,Appliance VM/Server,Exclusive for  Vmware,Out-of-Support Guest Operating System,RDM Disks?,On a Cluster?,VM ID,SMBIOS UUID,VM UUID,To be Migrated,Cluster
COL-TOC-D3310,NAOS-TOCA,COLOMBIA,VirtualMachine-vm-2628156-COL-TOC-D3310,420aa138-2fea-7b6e-fcc0-bbbe7a419f76,,,ABA003-56,ABASTECEMOS DE OCCIDENTE S.A,CO,LATAM,Standard,alfrescobelarcazar,coltocvcenter01.cwllag.com,ABASTECEMOS DE OCCIDENTE S.A,,,667677.1.3.CO,/COLTOCMAINDC/CWB_TOCA_IAAS/ABA003-56,IAAS,IaaS,Customer,Production,NO,poweredOn,#N/D,False,,4,16384,1,1,307200,,,,,,,,,,323709,323709,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),LINUX,,,,,,vm-2628156,420aa138-2fea-7b6e-fcc0-bbbe7a419f76,500a91e0-601c-6135-0751-ba81f7f9b6b2,,CLIAAS-UNIX
COL-TOC-D3310,NAOS-TOCA,COLOMBIA,VirtualMachine-vm-3437296-COL-TOC-D3310,420a4f22-39ea-9d0e-7387-42fc58f67046,,,ACE001-63,ACERO ESTRELLA,DO,LATAM,Standard,656988_1_DO,coltocvcenter01.cwllag.com,ACERO ESTRELLA,,,656988.1.DO,/COLTOCMAINDC/CWB_TOCA_DRAAS/ACE001-63,IAAS,DRaaS,Customer,Production,NO,poweredOn,#N/D,False,ControllerAcero,10,12288,1,1,102400,172.16.200.3,,,,,,,,,114807,45681,Microsoft Windows Server 2016 or later (64-bit),Microsoft Windows Server 2019 (64-bit),WINDOWS,,,,,,vm-3437296,420a4f22-39ea-9d0e-7387-42fc58f67046,500aca62-e6f4-ef03-13f2-fa8c82a25718,,CLDRaaS
COL-TOC-D3310,NAOS-TOCA,COLOMBIA,VirtualMachine-vm-4181372-COL-TOC-D3310,420a36d1-5f97-0f0f-2986-339263c31fd7,,,ACE001-63,ACERO ESTRELLA,DO,LATAM,Standard,656988_1_2_DO,coltocvcenter01.cwllag.com,ACERO ESTRELLA,,,656988.1.2.DO,/COLTOCMAINDC/CWB_TOCA_DRAAS/ACE001-63,IAAS,DRaaS,Customer,Production,NO,poweredOn,#N/D,False,presto,4,8192,1,3,486400,172.16.200.2,,,,,,,,,494680,211797,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),WINDOWS,,,,,,vm-4181372,420a36d1-5f97-0f0f-2986-339263c31fd7,500a206c-d94e-b7f8-dac8-25b0fd83dfdf,,CLDRaaS
COL-TOC-D3310,NAOS-TOCA,COLOMBIA,VirtualMachine-vm-4181381-COL-TOC-D3310,420ac011-369f-5202-6b23-06aca24496fd,,,ACE001-63,ACERO ESTRELLA,DO,LATAM,Standard,656988_1_3_DO,coltocvcenter01.cwllag.com,ACERO ESTRELLA,,,656988.1.3.DO,/COLTOCMAINDC/CWB_TOCA_DRAAS/ACE001-63,IAAS,DRaaS,Customer,Production,NO,poweredOn,#N/D,False,licenseserverR,8,16384,1,2,153600,172.16.200.9,,,,,,,,,170081,84733,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),WINDOWS,,,,,,vm-4181381,420ac011-369f-5202-6b23-06aca24496fd,500a840a-20a8-a039-277b-6af6f372b2b8,,CLDRaaS
COL-TOC-D3310,NAOS-TOCA,COLOMBIA,VirtualMachine-vm-4181392-COL-TOC-D3310,420ace06-e28b-9166-3b97-d5fcc041706c,,,ACE001-63,ACERO ESTRELLA,DO,LATAM,Standard,656988_1_4_DO,coltocvcenter01.cwllag.com,ACERO ESTRELLA,,,656988.1.4.DO,/COLTOCMAINDC/CWB_TOCA_DRAAS/ACE001-63,IAAS,DRaaS,Customer,Production,NO,poweredOn,#N/D,False,FACELECT,4,8192,1,2,174080,172.16.200.7,,,,,,,,,182376,129682,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),WINDOWS,,,,,,vm-4181392,420ace06-e28b-9166-3b97-d5fcc041706c,500ae65d-2072-8d8d-9914-78fd94c90c97,,CLDRaaS
COL-TOC-D3310,NAOS-TOCA,COLOMBIA,VirtualMachine-vm-4181398-COL-TOC-D3310,420a8370-7a39-1298-fe19-70ddc612523f,,,ACE001-63,ACERO ESTRELLA,DO,LATAM,Standard,656988_1_6_DO,coltocvcenter01.cwllag.com,ACERO ESTRELLA,,,656988.1.6.DO,/COLTOCMAINDC/CWB_TOCA_DRAAS/ACE001-63,IAAS,DRaaS,Customer,Production,NO,poweredOn,#N/D,False,SQLSRV,4,24576,1,4,1587200,172.16.200.10,,,,,,,,,1611865,645364,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),WINDOWS,,,,,,vm-4181398,420a8370-7a39-1298-fe19-70ddc612523f,500acd8b-77ac-6748-f20a-58eaccc7ebe5,,CLDRaaS
COL-TOC-D3310,NAOS-TOCA,COLOMBIA,VirtualMachine-vm-4181399-COL-TOC-D3310,420a7dc9-926e-f287-1961-7f68d7d5540b,,,ACE001-63,ACERO ESTRELLA,DO,LATAM,Standard,656988_1_7_DO,coltocvcenter01.cwllag.com,ACERO ESTRELLA,,,656988.1.7.DO,/COLTOCMAINDC/CWB_TOCA_DRAAS/ACE001-63,IAAS,DRaaS,Customer,Production,NO,poweredOn,#N/D,False,SCA,2,16384,1,2,476160,172.16.200.11,,,,,,,,,492629,119247,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2019 (64-bit),WINDOWS,,,,,,vm-4181399,420a7dc9-926e-f287-1961-7f68d7d5540b,500a8796-3182-a040-7158-a457e96415f2,,CLDRaaS
COL-TOC-D3310,NAOS-TOCA,COLOMBIA,VirtualMachine-vm-5177588-COL-TOC-D3310,420aa381-809b-3e9a-34d0-52d6ef10d4f5,,,ADI003-74,ADIMEX,SV,LATAM,Standard,45914817_1_1_SV,coltocvcenter01.cwllag.com,ADIMEX,,,45914817.1.1.SV,/COLTOCMAINDC/CWB_TOCA_DRAAS/ADI003-74,IAAS,DRaaS,Customer,Production,NO,poweredOn,#N/D,False,CONTROLLER-ADIM,4,6144,1,1,102400,10.238.155.67,,,,,,,,,108632,25500,Microsoft Windows Server 2022 (64-bit),Microsoft Windows Server 2022 (64-bit),WINDOWS,,,,,,vm-5177588,420aa381-809b-3e9a-34d0-52d6ef10d4f5,500a9ed8-3770-9ba2-bffd-3d67abf206e3,,CLDRaaS
COL-TOC-D3310,NAOS-TOCA,COLOMBIA,VirtualMachine-vm-5177586-COL-TOC-D3310,420a08af-f6f4-dece-127b-1b5fff001fb3,,,ADI003-74,ADIMEX,SV,LATAM,Standard,45914815_1_2_SV,coltocvcenter01.cwllag.com,ADIMEX,,,45914815.1.2.SV,/COLTOCMAINDC/CWB_TOCA_DRAAS/ADI003-74,IAAS,DRaaS,Customer,Production,NO,poweredOn,#N/D,False,iLOG-R,4,32768,2,2,5754880,10.238.154.66,,,,,,,,,5787736,175511,Ubuntu Linux (64-bit),Ubuntu Linux (64-bit),LINUX,,,,,,vm-5177586,420a08af-f6f4-dece-127b-1b5fff001fb3,500a1a63-9a27-a370-88bc-1c6af37ae65e,,CLDRaaS
COL-TOC-D3310,NAOS-TOCA,COLOMBIA,VirtualMachine-vm-3280727-COL-TOC-D3310,420ada9d-b65d-e5d2-774b-817b6ced084c,,,ADM004-79,ADMINISTRADORA PASEO, S.A (CAYALA),GT,LATAM,Standard,CL-FELSRV,coltocvcenter01.cwllag.com,ADMINISTRADORA PASEO, S.A (CAYALA),,,5027203.GT,/COLTOCMAINDC/CWB_TOCA_IAAS/ADM004-79,IAAS,IaaS,Customer,Production,NO,poweredOn,#N/D,False,CL-FELSRV,8,32768,1,3,307200,10.238.65.19,,,,,,,,,340063,235494,Microsoft Windows Server 2016 (64-bit),Microsoft Windows Server 2016 (64-bit),WINDOWS,,,,,,vm-3280727,420ada9d-b65d-e5d2-774b-817b6ced084c,500a1495-9b41-bef4-fc4a-0ca85a2460c3,,CLIAAS-POD1
